"","Contextual Precision","Contextual Recall","Contextual Relevancy","Answer Relevancy","Faithfulness"
"0","0.583333","0.642857","0.633333","1.000000","0.916667"
"1","0.000000","0.846154","0.555556","0.931034","0.923077"
"2","1.000000","0.384615","0.730769","1.000000","0.928571"
"3","1.000000","0.764706","0.756757","1.000000","0.875000"
"4","1.000000","0.409091","0.642857","1.000000","1.000000"
"5","1.000000","0.538462","0.836735","0.952381","1.000000"
"6","1.000000","0.714286","0.529412","0.823529","1.000000"
"7","1.000000","0.823529","0.739130","1.000000","1.000000"
"8","1.000000","0.625000","0.585366","1.000000","1.000000"
"9","0.000000","0.454545","0.636364","0.893617","0.916667"
"10","1.000000","0.772727","0.703704","1.000000","1.000000"
"11","1.000000","0.571429","0.911765","1.000000","1.000000"
"12","1.000000","0.950000","0.704545","1.000000","1.000000"
"13","0.833333","0.750000","0.959184","1.000000","0.769231"
"14","1.000000","0.956522","0.666667","0.900000","0.923077"
"15","1.000000","0.750000","0.518519","0.560000","0.850000"
"16","1.000000","0.923077","0.926829","0.931034","1.000000"
"17","1.000000","0.375000","0.500000","0.571429","1.000000"
"18","1.000000","0.263158","0.891892","0.897959","0.888889"
"19","0.583333","0.526316","0.868421","0.942857","1.000000"
"20","1.000000","0.800000","0.771429","1.000000","0.909091"
"21","1.000000","0.500000","0.785714","0.978261","1.000000"
"22","1.000000","0.866667","0.584906","0.468750","1.000000"
"23","0.833333","0.500000","0.714286","0.838710","1.000000"
"24","0.833333","0.900000","0.727273","1.000000","0.933333"
"25","1.000000","0.529412","0.708333","0.944444","0.941176"
"26","1.000000","0.666667","0.775000","0.951220","1.000000"
"27","1.000000","0.588235","0.808511","1.000000","1.000000"
"28","0.583333","0.550000","0.758621","1.000000","1.000000"
"29","0.000000","0.266667","0.370370","1.000000","0.888889"
"30","1.000000","0.857143","0.760870","0.900000","0.937500"
"31","1.000000","1.000000","0.692308","0.678571","0.923077"
"32","1.000000","0.300000","0.545455","0.942857","1.000000"
"33","1.000000","0.550000","0.461538","0.621622","1.000000"
"34","1.000000","1.000000","0.192308","0.612903","0.952381"
"35","0.000000","0.714286","0.191489","0.777778","1.000000"
"36","1.000000","0.789474","0.764706","1.000000","1.000000"
"37","0.000000","0.200000","0.689655","0.904762","1.000000"
"38","0.000000","0.000000","0.823529","0.941176","1.000000"
"39","0.500000","1.000000","0.794872","1.000000","1.000000"
"40","0.833333","0.857143","0.464286","0.903226","1.000000"
"41","1.000000","1.000000","0.758621","0.666667","0.800000"
"42","0.333333","0.214286","0.468085","0.731707","1.000000"
"43","0.833333","1.000000","0.766667","0.975000","1.000000"
"44","1.000000","0.633333","0.700000","1.000000","0.928571"
"45","0.583333","0.043478","0.666667","0.619048","0.846154"
"46","1.000000","0.600000","0.812500","0.923077","1.000000"
"47","0.833333","0.800000","0.681818","1.000000","1.000000"
"48","1.000000","0.727273","0.558140","0.815789","1.000000"
"49","1.000000","0.666667","0.789474","1.000000","1.000000"
